name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
GET /	10	10	0	410	410	-1	660	660	-1	470	470	-1	72	72	-1	660	660	-1	660	660	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/module.js	10	10	0	140	140	-1	330	330	-1	204	204	-1	53	53	-1	330	330	-1	330	330	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/index.js	10	10	0	160	160	-1	330	330	-1	264	264	-1	58	58	-1	330	330	-1	330	330	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/filters/module.js	10	10	0	140	140	-1	330	330	-1	244	244	-1	65	65	-1	330	330	-1	330	330	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/clubService.js	10	10	0	140	140	-1	290	290	-1	219	219	-1	53	53	-1	290	290	-1	290	290	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/requirejs-domready/domReady.js	10	10	0	150	150	-1	260	260	-1	174	174	-1	33	33	-1	260	260	-1	260	260	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/angular/angular.min.js	10	10	0	580	580	-1	820	820	-1	684	684	-1	82	82	-1	820	820	-1	820	820	-1	t < 800 ms	8	80	800 ms < t < 1200 ms	2	20	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/highlight/highlight.pack.js	10	10	0	230	230	-1	260	260	-1	244	244	-1	9	9	-1	260	260	-1	260	260	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/technos/site.html	10	10	0	140	140	-1	240	240	-1	173	173	-1	29	29	-1	240	240	-1	240	240	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/requirejs/require.js	10	10	0	430	430	-1	540	540	-1	474	474	-1	37	37	-1	540	540	-1	540	540	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
